timestamp	sharpe	sortino	calmar	cagr_pct	max_dd_pct	avg_positions	status	description
2026-03-28T02:41:56.775212	0.3437	0.4265	0.2946	9.52	-32.32	13.5	kept	baseline: quality-momentum multi-factor v1
2026-04-03T01:02:04.551983	0.3437	0.4265	0.2946	9.52	-32.32	13.5	kept	baseline: quality-momentum multi-factor v1
2026-04-03T01:03:46.264682	0.6063	0.7402	0.4102	13.47	-32.84	13.1	kept	v2: fix momentum calc (12m-1m), monthly rebalancing, relative strength filter
2026-04-03T01:28:18.449278	0.7135	0.8477	0.7258	14.99	-20.65	16.1	kept	exp3: graded trend filter (25/50/100% exposure) instead of binary cash
2026-04-03T01:28:45.272931	0.7107	0.8438	0.7126	14.94	-20.96	16.0	kept	exp4: tighten trailing stop to 15%
2026-04-03T01:29:36.645129	0.7025	0.8229	0.6347	15.09	-23.78	15.9	kept	exp5: add 52-week high proximity signal
2026-04-03T01:30:14.741621	0.6778	0.785	0.7218	13.98	-19.37	16.1	kept	exp6: portfolio drawdown circuit breaker (60% exposure when down 10% from peak)
2026-04-03T01:30:54.288391	0.9534	1.3045	1.2725	18.16	-14.27	7.9	kept	exp7: momentum acceleration filter (3m > 6m return)
2026-04-03T01:31:37.508879	0.9435	1.289	1.2524	18.24	-14.56	7.9	kept	exp8: equal weight instead of inverse-vol (concentrated portfolio)
2026-04-03T01:32:17.206446	0.2071	0.246	0.2565	7.79	-30.36	9.5	kept	exp9: stronger acceleration filter (3m > 12m instead of 3m > 6m)
2026-04-03T01:33:16.819121	0.9869	1.3439	1.3891	18.7	-13.46	7.9	kept	exp10: momentum acceleration as ranked factor in composite score
2026-04-03T01:34:38.227814	0.6788	0.8998	0.8826	14.31	-16.21	7.7	kept	exp11: 6-week rebalancing cadence (vs monthly)
2026-04-03T01:36:16.021804	0.9159	1.2287	1.33	17.9	-13.46	7.9	kept	exp12: death cross (50d < 200d) instead of price vs 100d MA
2026-04-03T01:37:03.170844	0.9642	1.3215	1.3092	18.44	-14.09	7.8	kept	exp13: 21-day vol window for inverse-vol weighting (vs 60-day)
2026-04-03T01:38:07.863720	0.9685	1.3252	1.3693	18.37	-13.41	7.9	kept	exp14: remove volume confirmation from composite score
2026-04-03T01:38:40.107023	0.9804	1.3328	1.3462	18.72	-13.9	7.8	kept	exp15: boost momentum weight to 50% in composite
2026-04-03T01:41:34.319235	0.9984	1.3602	1.4021	18.88	-13.46	7.9	kept	exp16: remove trailing stop
2026-04-03T01:41:48.453883	0.9984	1.3602	1.4021	18.88	-13.46	7.9	kept	exp16: remove trailing stop
2026-04-03T01:42:27.131316	0.9851	1.3381	1.4072	18.73	-13.31	7.9	kept	exp17: return consistency factor (positive months / 12)
2026-04-03T01:44:25.400208	0.4062	0.5086	0.3596	10.83	-30.11	8.8	kept	exp18: shorter skip 10d instead of 21d
2026-04-03T01:45:10.485224	0.9814	1.3392	1.4606	18.68	-12.79	7.9	kept	exp19: sector-relative momentum signal
2026-04-03T01:45:53.773360	0.8968	1.2714	1.0263	17.3	-16.86	6.6	kept	exp20: require rs_nifty > 3% threshold
2026-04-03T01:47:14.262079	0.9902	1.3494	1.3908	18.69	-13.44	7.9	kept	exp21: position cap 12% instead of 10%
2026-04-03T01:47:52.480722	1.0232	1.4013	1.5042	19.55	-13.0	7.9	kept	exp22: bear=40% caution=65% exposure (was 25/50)
2026-04-03T01:48:19.645554	1.0332	1.416	1.4844	19.98	-13.46	7.9	kept	exp23: bear=50% caution=75%
